sadate,country_name,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,population,latitude,longitude
2020-01-01,Afghanistan,0.0,,0.0,,172895.0,35.4275,69.735
2020-01-01,Albania,0.0,0.0,0.0,0.0,2862427.0,41.0,20.0
2020-01-01,Algeria,0.0,0.0,0.0,0.0,43851043.0,28.0,1.0
2020-01-01,American Samoa,0.0,0.0,0.0,0.0,55197.0,-14.295833,-170.7075
2020-01-01,Andorra,0.0,0.0,0.0,0.0,77265.0,42.558333,1.555278
2020-01-01,Angola,0.0,0.0,0.0,0.0,32866267.0,-12.35,17.35
2020-01-01,Anguilla,0.0,0.0,0.0,0.0,15002.0,18.227222,-63.048889
2020-01-01,Antarctica,0.0,,0.0,,4400.0,-90.0,0.0
2020-01-01,Antigua and Barbuda,0.0,0.0,0.0,0.0,97928.0,17.116667,-61.85
2020-01-01,Argentina,0.0,,0.0,,23871.0,-36.033333,-59.1
2020-01-01,Armenia,0.0,0.0,0.0,0.0,2963234.0,17.6,-51.143889
2020-01-01,Aruba,0.0,0.0,0.0,0.0,106766.0,12.511063,-69.974224
2020-01-01,Australia,0.0,,0.0,,1767247.0,-30.0,135.0
2020-01-01,Austria,0.0,,0.0,,37513.0,47.534,16.496
2020-01-01,Azerbaijan,0.0,0.0,0.0,0.0,10139175.0,40.3,47.7
2020-01-01,Bahamas,0.0,0.0,0.0,0.0,393248.0,25.0,-77.4
2020-01-01,Bahrain,0.0,0.0,0.0,0.0,1701583.0,26.0675,50.551111
2020-01-01,Bangladesh,0.0,,0.0,,276346.9143447958,22.75,91.16667
2020-01-01,Barbados,0.0,0.0,0.0,0.0,287371.0,13.17,-59.5525
2020-01-01,Belarus,0.0,0.0,0.0,0.0,9449321.0,53.528333,28.046667
2020-01-01,Belgium,0.0,,0.0,,286685.0,49.916667,5.416667
2020-01-01,Belize,0.0,0.0,0.0,0.0,397621.0,17.066667,-88.7
2020-01-01,Benin,0.0,0.0,0.0,0.0,12123198.0,8.833333,2.183333
2020-01-01,Bermuda,0.0,0.0,0.0,0.0,62273.0,32.333333,-64.75
2020-01-01,Bhutan,0.0,0.0,0.0,0.0,771612.0,27.45,90.5
2020-01-01,Bolivia,0.0,,0.0,,581347.0,-20.0,-64.416667
2020-01-01,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,3280815.0,44.0,18.0
2020-01-01,Botswana,0.0,0.0,0.0,0.0,2351625.0,-22.2,23.7
2020-01-01,Bouvet Island,0.0,,0.0,,0.0,-54.42222,3.35833
2020-01-01,Brazil,0.0,,0.0,,12049.0,-3.730833,-45.315
2020-01-01,British Indian Ocean Territory,0.0,,0.0,,4000.0,-6.0,71.5
2020-01-01,British Virgin Islands,0.0,0.0,0.0,0.0,30237.0,18.445,-64.54
2020-01-01,Brunei,0.0,0.0,0.0,0.0,437483.0,4.4,114.566667
2020-01-01,Bulgaria,0.0,,0.0,,115211.0,43.25,26.5
2020-01-01,Burkina Faso,0.0,0.0,0.0,0.0,20903278.0,12.266667,-2.066667
2020-01-01,Burundi,0.0,0.0,0.0,0.0,11890781.0,-3.666667,29.816667
2020-01-01,Cambodia,0.0,0.0,0.0,0.0,16718971.0,12.6,105.0
2020-01-01,Cameroon,0.0,0.0,0.0,0.0,26545864.0,7.0,12.0
2020-01-01,Canada,0.0,,0.0,,276346.9143447958,55.0,-93.5
2020-01-01,Cape Verde,0.0,0.0,0.0,0.0,555988.0,15.916667,-24.083333
2020-01-01,Caribbean Netherlands,0.0,,0.0,,26221.0,12.183333,-68.233333
2020-01-01,Cayman Islands,0.0,0.0,0.0,0.0,65720.0,19.5,-80.5
2020-01-01,Central African Republic,0.0,0.0,0.0,0.0,4829764.0,6.7,20.9
2020-01-01,Chad,0.0,0.0,0.0,0.0,16425859.0,15.466667,19.4
2020-01-01,Chile,0.0,,0.0,,384837.0,-39.808333,-73.241667
2020-01-01,China,0.0,,0.0,,101527453.0,36.4,118.4
2020-01-01,Christmas Island,0.0,,0.0,,1843.0,-10.49,105.6275
2020-01-01,Cocos Islands,0.0,,0.0,,596.0,-12.1175,96.895
2020-01-01,Colombia,0.0,,0.0,,7743955.0,4.60971,-74.08175
2020-01-01,Comoros,0.0,0.0,0.0,0.0,869595.0,-12.23333,44.44553
2020-01-01,Cook Islands,0.0,0.0,0.0,0.0,17564.0,-21.233333,-159.783333
2020-01-01,Costa Rica,0.0,,0.0,,510566.0,9.966667,-84.833333
2020-01-01,Croatia,0.0,0.0,0.0,0.0,4076246.0,45.25,15.466667
2020-01-01,Cuba,0.0,,0.0,,782458.0,21.3839,-77.9075
2020-01-01,Curaçao,0.0,0.0,0.0,0.0,164100.0,12.166667,-68.966667
2020-01-01,Cyprus,0.0,0.0,0.0,0.0,875899.0,35.0,33.0
2020-01-01,Czech Republic,0.0,,0.0,,107973.0,50.416667,16.163056
2020-01-01,Democratic Republic of the Congo,0.0,,0.0,,1626606.0,0.066667,18.2667
2020-01-01,Denmark,0.0,0.0,0.0,0.0,5806081.0,56.0,10.0
2020-01-01,Djibouti,0.0,0.0,0.0,0.0,988002.0,11.8,42.433333
2020-01-01,Dominica,0.0,0.0,0.0,0.0,71991.0,15.416667,-61.333333
2020-01-01,Dominican Republic,0.0,,0.0,,222641.0,18.81,-69.79
2020-01-01,East Timor,0.0,0.0,0.0,0.0,1318442.0,-8.966667,125.75
2020-01-01,Ecuador,0.0,,0.0,,120416.0,-4.069167,-78.956667
2020-01-01,Egypt,0.0,0.0,0.0,0.0,102334403.0,27.0,29.0
2020-01-01,El Salvador,0.0,,0.0,,231480.0,13.838,-89.031
2020-01-01,Equatorial Guinea,0.0,0.0,0.0,0.0,1402985.0,1.5,10.0
2020-01-01,Eritrea,0.0,0.0,0.0,0.0,3546427.0,15.483333,38.25
2020-01-01,Estonia,0.0,,0.0,,20285.0,58.916667,23.75
